Series Name,Series Code,Country Name,Country Code,2000 [YR2000]
Malaria cases reported,SH.STA.MALR,Arab World,ARB,..
Malaria cases reported,SH.STA.MALR,Caribbean small states,CSS,..
Malaria cases reported,SH.STA.MALR,Central Europe and the Baltics,CEB,..
Malaria cases reported,SH.STA.MALR,Early-demographic dividend,EAR,..
Malaria cases reported,SH.STA.MALR,East Asia & Pacific,EAS,..
Malaria cases reported,SH.STA.MALR,East Asia & Pacific (excluding high income),EAP,..
Malaria cases reported,SH.STA.MALR,East Asia & Pacific (IDA & IBRD countries),TEA,..
Malaria cases reported,SH.STA.MALR,Euro area,EMU,..
Malaria cases reported,SH.STA.MALR,Europe & Central Asia,ECS,..
Malaria cases reported,SH.STA.MALR,Europe & Central Asia (excluding high income),ECA,..
Malaria cases reported,SH.STA.MALR,Europe & Central Asia (IDA & IBRD countries),TEC,..
Malaria cases reported,SH.STA.MALR,European Union,EUU,..
Malaria cases reported,SH.STA.MALR,Fragile and conflict affected situations,FCS,..
Malaria cases reported,SH.STA.MALR,Heavily indebted poor countries (HIPC),HPC,..
Malaria cases reported,SH.STA.MALR,High income,HIC,..
Malaria cases reported,SH.STA.MALR,Late-demographic dividend,LTE,..
Malaria cases reported,SH.STA.MALR,Latin America & Caribbean,LCN,..
Malaria cases reported,SH.STA.MALR,Latin America & Caribbean (excluding high income),LAC,..
Malaria cases reported,SH.STA.MALR,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
Malaria cases reported,SH.STA.MALR,Least developed countries: UN classification,LDC,..
Malaria cases reported,SH.STA.MALR,Low & middle income,LMY,..
Malaria cases reported,SH.STA.MALR,Low income,LIC,..
Malaria cases reported,SH.STA.MALR,Lower middle income,LMC,..
Malaria cases reported,SH.STA.MALR,Middle East & North Africa,MEA,..
Malaria cases reported,SH.STA.MALR,Middle East & North Africa (excluding high income),MNA,..
Malaria cases reported,SH.STA.MALR,Middle East & North Africa (IDA & IBRD countries),TMN,..
Malaria cases reported,SH.STA.MALR,Middle income,MIC,..
Malaria cases reported,SH.STA.MALR,North America,NAC,..
Malaria cases reported,SH.STA.MALR,Not classified,INX,..
Malaria cases reported,SH.STA.MALR,OECD members,OED,..
Malaria cases reported,SH.STA.MALR,Other small states,OSS,..
Malaria cases reported,SH.STA.MALR,Pacific island small states,PSS,..
Malaria cases reported,SH.STA.MALR,Post-demographic dividend,PST,..
Malaria cases reported,SH.STA.MALR,Pre-demographic dividend,PRE,..
Malaria cases reported,SH.STA.MALR,Small states,SST,..
Malaria cases reported,SH.STA.MALR,South Asia,SAS,..
Malaria cases reported,SH.STA.MALR,South Asia (IDA & IBRD),TSA,..
Malaria cases reported,SH.STA.MALR,Sub-Saharan Africa,SSF,..
Malaria cases reported,SH.STA.MALR,Sub-Saharan Africa (excluding high income),SSA,..
Malaria cases reported,SH.STA.MALR,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
Malaria cases reported,SH.STA.MALR,Upper middle income,UMC,..
Malaria cases reported,SH.STA.MALR,World,WLD,..
Malaria cases reported,SH.STA.MALR,Afghanistan,AFG,94475
Malaria cases reported,SH.STA.MALR,Albania,ALB,..
Malaria cases reported,SH.STA.MALR,Algeria,DZA,35
